Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage	damage2011	damage2014	Notes2011	Notes2014
Purchase_Knob	510.01	2551	acerSacc	1	2011	NaN	NaN	NaN	NaN	40	0	7.5	6.5	47.5	6.5	311500.1331	3940174.0470	429.9460	1.69	1.80	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	464.01	2645	acerPens	1	2011	NaN	NaN	NaN	NaN	40	0	4.0	8.0	44.0	8.0	311496.4584	3940175.0460	429.9460	NaN	2.70	UN	N	0	0	ND	ND	ND		
Purchase_Knob	476.01	2646	acerPens	1	2011	NaN	NaN	NaN	NaN	40	0	5.0	9.5	45.0	9.5	311497.2399	3940176.6700	431.0023	3.26	4.30	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	497.01	2647	acerRubr	1	2011	NaN	NaN	NaN	NaN	40	0	7.0	9.0	47.0	9.0	311499.2900	3940176.4540	431.0023	22.70	25.10	UN	UN	1	1	ND	ND	ND		
Purchase_Knob	498.01	2648	prunSero	1	2011	NaN	2014	NaN	NaN	40	0	7.0	9.0	47.0	9.0	311499.2900	3940176.4540	431.0023	2.68	NaN	UN	NA	0	NA	ND	ND	NA		
Purchase_Knob	498.02	2648	prunSero	2	2011	NaN	NaN	NaN	NaN	40	0	7.0	9.0	47.0	9.0	311499.2900	3940176.4540	431.0023	1.88	1.80	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	532.01	2649	acerPens	1	2011	NaN	NaN	NaN	NaN	40	0	9.0	6.0	49.0	6.0	311501.6881	3940173.7610	429.9460	1.04	1.40	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	430.01	9136	acerPens	1	2011	NaN	NaN	NaN	NaN	40	0	1.0	5.0	41.0	5.0	311493.9051	3940171.6570	429.9460	1.43	1.70	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	551.01	433	acerSacc	1	2011	NaN	NaN	NaN	NaN	40	10	10.0	7.0	50.0	17.0	311501.1475	3940184.7930	431.0023	31.90	31.90	UN	UN	0	1	ND	ND	ND		
Purchase_Knob	503.01	434	acerRubr	1	2011	NaN	NaN	NaN	NaN	40	10	7.0	5.0	47.0	15.0	311498.4550	3940182.3950	431.0023	43.20	44.20	UN	UN	2	2	ND	ND	ND		
Purchase_Knob	503.02	434	acerRubr	2	2011	NaN	NaN	NaN	NaN	40	10	7.0	5.0	47.0	15.0	311498.4550	3940182.3950	431.0023	6.30	6.60	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	528.01	941	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	8.5	9.0	48.5	19.0	311499.3837	3940186.5650	432.0499	2.15	2.24	UN	N	0	0	ND	ND	ND		
Purchase_Knob	529.01	942	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	8.5	9.1	48.5	19.1	311499.3698	3940186.6640	432.0499	1.38	1.42	UN	N	0	0	ND	ND	ND		
Purchase_Knob	513.01	943	acerPens	1	2011	NaN	2014	NaN	NaN	40	10	8.0	8.8	48.0	18.8	311498.9164	3940186.2970	432.0499	1.18	NaN	UN	NA	0	NA	ND	ND	NA		
Purchase_Knob	512.01	944	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	7.9	8.8	47.9	18.8	311498.8174	3940186.2830	432.0499	2.57	3.00	UN	N	0	0	ND	ND	ND		
Purchase_Knob	512.02	944	acerPens	2	2011	NaN	NaN	NaN	NaN	40	10	7.9	8.8	47.9	18.8	311498.8174	3940186.2830	432.0499	1.15	1.94	UN	N	0	0	D	ND	L		
Purchase_Knob	527.01	945	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	8.5	8.8	48.5	18.8	311499.4115	3940186.3670	432.0499	1.80	1.91	UN	N	0	0	ND	ND	ND		
Purchase_Knob	526.01	946	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	8.5	8.2	48.5	18.2	311499.4951	3940185.7730	431.0023	1.72	1.92	UN	N	0	0	ND	ND	ND		
Purchase_Knob	525.01	7951	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	8.2	8.0	48.2	18.0	311499.2258	3940185.5330	431.0023	2.21	2.65	UN	N	0	0	ND	ND	ND		
Purchase_Knob	504.01	948	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	7.0	8.0	47.0	18.0	311498.0375	3940185.3660	431.0023	3.02	3.35	UN	N	0	0	ND	ND	ND		
Purchase_Knob	500.01	2552	querAlba	1	2011	NaN	NaN	NaN	NaN	40	10	7.0	3.0	47.0	13.0	311498.7333	3940180.4150	431.0023	71.73	73.10	UN	UN	2	2	ND	ND	ND		
Purchase_Knob	501.01	2553	amelUNKN	1	2011	NaN	NaN	NaN	NaN	40	10	7.0	3.0	47.0	13.0	311498.7333	3940180.4150	431.0023	1.21	1.40	UN	N	0	0	ND	ND	ND		
Purchase_Knob	465.01	2554	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	4.0	5.0	44.0	15.0	311495.4842	3940181.9780	431.0023	3.24	3.69	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	431.01	2555	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	1.0	5.0	41.0	15.0	311492.5134	3940181.5600	430.9344	2.11	2.29	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	410.01	2556	acerRubr	1	2011	NaN	2014	NaN	NaN	40	10	0.0	5.0	40.0	15.0	311491.5231	3940181.4210	430.9344	9.19	NaN	UN	NA	0	NA	D	S	NA		
Purchase_Knob	442.01	2557	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	2.0	6.5	42.0	16.5	311493.2949	3940183.1850	431.0023	4.71	5.80	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	456.01	2558	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	3.0	7.0	43.0	17.0	311494.2156	3940183.8190	431.0023	3.80	4.08	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	466.01	2559	acerPens	1	2011	NaN	NaN	NaN	NaN	40	10	4.0	7.0	44.0	17.0	311495.2059	3940183.9580	431.0023	4.20	4.66	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	432.01	2560	prunSero	1	2011	NaN	NaN	NaN	NaN	40	10	1.0	9.0	41.0	19.0	311491.9567	3940185.5210	430.9344	6.05	6.30	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	409.01	2650	acerRubr	1	2011	NaN	NaN	NaN	NaN	40	10	0.0	1.5	40.0	11.5	311492.0102	3940177.9550	430.9344	6.70	6.80	UN	UN	0	0	ND	ND	ND		
